system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00056] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17949] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17952] Decoding visual no. 28...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17963] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17967] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17970] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17972] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17975] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17978] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17981] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17984] Samples: 2
display  D   display_settings.c:486  _al_score_display_settings       [   0.17986] Score is : 1816
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17989] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17991] Decoding visual no. 29...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.18008] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.18012] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.18014] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.18021] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.18024] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.18026] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.18029] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.18031] Samples: 2
display  D   display_settings.c:486  _al_score_display_settings       [   0.18033] Score is : 1878
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.18036] -- 
